"","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_p_tag","cycle_pair","new_part","NumDays","breed_stage","no_hours","part_prev_bout"
"57",27665,19519,"Female","Partner",26,14,2.948773,0.4502542,"19519_27665","A","A_19519","A_19519_27665",0,113,"brood",50.83333333,22.00008
"58",27665,19519,"Female","Partner",26,14,2.948773,0.4502542,"19519_27665","A","A_19519","A_19519_27665",0,108,"brood",96.5,28.83336
"59",27665,19519,"Female","Partner",26,14,2.948773,0.4502542,"19519_27665","A","A_19519","A_19519_27665",0,98,"brood",95.16666667,22.16664
"60",27863,11333,"Female","Partner",25,24,3.087776,1.79312,"11333_27863","C","C_11333","C_11333_27863",0,9,"incu",23.66666667,75.66672
"61",27863,11333,"Female","Partner",25,24,3.087776,1.79312,"11333_27863","C","C_11333","C_11333_27863",0,75,"incu",293.3333333,190.00008
"62",27863,11333,"Female","Partner",25,24,3.087776,1.79312,"11333_27863","C","C_11333","C_11333_27863",0,21,"incu",326.6666667,264.49992
"63",27863,11333,"Female","Partner",25,24,3.087776,1.79312,"11333_27863","C","C_11333","C_11333_27863",0,49,"incu",433.3333333,343.33344
"64",11841,11232,"Male","Partner",23,25,1.639227,3.462843,"11232_11841","D","D_11232","D_11232_11841",0,9,"incu",23.16666667,35.16672
"65",11841,11232,"Male","Partner",23,25,1.639227,3.462843,"11232_11841","D","D_11232","D_11232_11841",0,15,"incu",152.1666667,116.33352
"66",18921,21437,"Male","Partner",19,14,0.4025061,3.273853,"21437_18921","D","D_21437","D_21437_18921",0,85,"incu",129,238.16664
"67",18921,21437,"Male","Partner",19,14,0.4025061,3.273853,"21437_18921","D","D_21437","D_21437_18921",0,68,"incu",163,46.33344
"68",21821,20743,"Female","Partner",11,12,2.97567,1.777924,"20743_21821","D","D_20743","D_20743_21821",0,2,"incu",66.166656,7.16664
"69",21821,20743,"Female","Partner",11,12,2.97567,1.777924,"20743_21821","D","D_20743","D_20743_21821",0,8,"incu",20.33333333,7.5
"70",21821,20743,"Female","Partner",11,12,2.97567,1.777924,"20743_21821","D","D_20743","D_20743_21821",0,10,"incu",164.166672,24.83328
"71",21821,20743,"Female","Partner",11,12,2.97567,1.777924,"20743_21821","D","D_20743","D_20743_21821",0,5,"incu",60.666648,1.6668
"72",22945,20125,"Female","Partner",16,15,2.725945,2.673177,"20125_22945","D","D_20125","D_20125_22945",0,4,"incu",94.33332,9.1668
