"","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_p_tag","cycle_pair","new_part","NumDays","breed_stage","no_hours","part_prev_bout"
"782",23250,23281,"Male","Logger",29,31,1.972619,2.218257,"23250_23281","D","D_23281","D_23250_23281",0,104,"brood",70.5,69.66666667
"783",23300,27668,"Male","Logger",29,28,1.759514,1.744696,"23300_27668","D","D_27668","D_23300_27668",0,99,"brood",71,112.3333333
"784",23300,27668,"Male","Logger",29,28,1.759514,1.744696,"23300_27668","D","D_27668","D_23300_27668",0,112,"brood",64.33333333,74
"785",23300,27668,"Male","Logger",29,28,1.759514,1.744696,"23300_27668","D","D_27668","D_23300_27668",0,108,"brood",25.16666667,150.6666667
"786",23300,27668,"Male","Logger",29,28,1.759514,1.744696,"23300_27668","D","D_27668","D_23300_27668",0,91,"brood",78.33333333,68.83333333
"787",25472,20105,"Female","Logger",26,22,1.601078,1.168348,"25472_20105","D","D_20105","D_25472_20105",0,99,"brood",95.33333333,135.3333333
"788",25472,20105,"Female","Logger",26,22,1.601078,1.168348,"25472_20105","D","D_20105","D_25472_20105",0,111,"brood",40.16666667,37.16666667
"789",25472,20105,"Female","Logger",26,22,1.601078,1.168348,"25472_20105","D","D_20105","D_25472_20105",0,106,"brood",94.16694444,71.5
"790",25616,20621,"Female","Logger",7,12,0.4379688,1.519807,"25616_20621","D","D_20621","D_25616_20621",1,105,"brood",51.33333333,70
"791",25616,20621,"Female","Logger",7,12,0.4379688,1.519807,"25616_20621","D","D_20621","D_25616_20621",1,99,"brood",64.5,53.16666667
"792",27692,21270,"Female","Logger",21,11,2.800837,0.5673144,"27692_21270","D","D_21270","D_27692_21270",0,96,"brood",49,32.33333333
"793",27692,21270,"Female","Logger",21,11,2.800837,0.5673144,"27692_21270","D","D_21270","D_27692_21270",0,101,"brood",98.33333333,64.33333333
"794",27692,21270,"Female","Logger",21,11,2.800837,0.5673144,"27692_21270","D","D_21270","D_27692_21270",0,92,"brood",67.33333333,73.83333333
"795",27692,21270,"Female","Logger",21,11,2.800837,0.5673144,"27692_21270","D","D_21270","D_27692_21270",0,107,"brood",68.83333333,49.5
"796",27757,28682,"Male","Logger",23,7,0.5560877,1.819745,"27757_28682","D","D_28682","D_27757_28682",1,101,"brood",21.83333333,93.33333333
"797",27757,28682,"Male","Logger",23,7,0.5560877,1.819745,"27757_28682","D","D_28682","D_27757_28682",1,93,"brood",92,144.8333333
"798",27757,28682,"Male","Logger",23,7,0.5560877,1.819745,"27757_28682","D","D_28682","D_27757_28682",1,108,"brood",69,150.8333333
"799",8440,19859,"Male","Logger",30,16,2.298154,0.69982,"8440_19859","D","D_19859","D_8440_19859",0,108,"brood",94.66666667,185.1666667
"800",8440,19859,"Male","Logger",30,16,2.298154,0.69982,"8440_19859","D","D_19859","D_8440_19859",0,114,"brood",19.83333333,56
"801",8440,19859,"Male","Logger",30,16,2.298154,0.69982,"8440_19859","D","D_19859","D_8440_19859",0,94,"brood",140.1666667,13.33333333
"802",19503,18883,"Female","Logger",18,20,3.171893,0.4070109,"19503_18883","E","E_18883","E_19503_18883",0,112,"brood",70.66666667,51.5
"803",19503,18883,"Female","Logger",18,20,3.171893,0.4070109,"19503_18883","E","E_18883","E_19503_18883",0,106,"brood",90.83361111,92.33333333
"804",19503,18883,"Female","Logger",18,20,3.171893,0.4070109,"19503_18883","E","E_18883","E_19503_18883",0,99,"brood",78.99972222,69.33333333
"805",19519,27665,"Male","Logger",18,30,0.4502542,2.948773,"19519_27665","E","E_27665","E_19519_27665",0,97,"brood",75,30.66666667
"806",19519,27665,"Male","Logger",18,30,0.4502542,2.948773,"19519_27665","E","E_27665","E_19519_27665",0,93,"brood",58.83333333,57.66666667
"807",19519,27665,"Male","Logger",18,30,0.4502542,2.948773,"19519_27665","E","E_27665","E_19519_27665",0,101,"brood",63.33333333,23.66666667
"808",19519,27665,"Male","Logger",18,30,0.4502542,2.948773,"19519_27665","E","E_27665","E_19519_27665",0,106,"brood",31.33333333,63.83333333
"809",19519,27665,"Male","Logger",18,30,0.4502542,2.948773,"19519_27665","E","E_27665","E_19519_27665",0,108,"brood",44.33333333,12.33333333
"810",19563,18985,"Female","Logger",18,20,0.6810683,1.493024,"19563_18985","E","E_18985","E_19563_18985",0,107,"brood",56,67.33333333
"811",19563,18985,"Female","Logger",18,20,0.6810683,1.493024,"19563_18985","E","E_18985","E_19563_18985",0,95,"brood",49,98
"812",19563,18985,"Female","Logger",18,20,0.6810683,1.493024,"19563_18985","E","E_18985","E_19563_18985",0,100,"brood",98.5,63.66666667
"813",19563,18985,"Female","Logger",18,20,0.6810683,1.493024,"19563_18985","E","E_18985","E_19563_18985",0,111,"brood",83.83333333,54.5
"814",20554,20567,"Female","Logger",14,14,0.4781361,0.9487732,"20554_20567","E","E_20567","E_20554_20567",0,103,"brood",84.33305556,100.8333333
"815",20554,20567,"Female","Logger",14,14,0.4781361,0.9487732,"20554_20567","E","E_20567","E_20554_20567",0,109,"brood",109.8333333,57.66666667
"816",20593,20582,"Male","Logger",14,14,0.2904716,1.014402,"20593_20582","E","E_20582","E_20593_20582",0,90,"brood",72.66666667,47.5
"817",20593,20582,"Male","Logger",14,14,0.2904716,1.014402,"20593_20582","E","E_20582","E_20593_20582",0,109,"brood",57.5,94.16666667
"818",20593,20582,"Male","Logger",14,14,0.2904716,1.014402,"20593_20582","E","E_20582","E_20593_20582",0,97,"brood",56.16666667,92.16666667
"819",20593,20582,"Male","Logger",14,14,0.2904716,1.014402,"20593_20582","E","E_20582","E_20593_20582",0,104,"brood",20.83333333,121.6666667
"820",20619,10817,"Female","Logger",13,27,1.994645,0.1157814,"20619_10817","E","E_10817","E_20619_10817",0,106,"brood",74.16666667,44.16666667
"821",20619,10817,"Female","Logger",13,27,1.994645,0.1157814,"20619_10817","E","E_10817","E_20619_10817",0,102,"brood",45.16666667,58.83333333
"822",20619,10817,"Female","Logger",13,27,1.994645,0.1157814,"20619_10817","E","E_10817","E_20619_10817",0,112,"brood",67.83333333,71
"823",20619,10817,"Female","Logger",13,27,1.994645,0.1157814,"20619_10817","E","E_10817","E_20619_10817",0,98,"brood",37.33333333,54.16666667
"824",21694,25800,"Female","Logger",40,24,1.448773,1.347735,"21694_25800","E","E_25800","E_21694_25800",0,94,"brood",38.5,25.5
"825",21694,25800,"Female","Logger",40,24,1.448773,1.347735,"21694_25800","E","E_25800","E_21694_25800",0,106,"brood",96.99972222,98.83333333
"826",21694,25800,"Female","Logger",40,24,1.448773,1.347735,"21694_25800","E","E_25800","E_21694_25800",0,99,"brood",69.83333333,80.66666667
"827",21694,25800,"Female","Logger",40,24,1.448773,1.347735,"21694_25800","E","E_25800","E_21694_25800",0,112,"brood",94.83333333,44.66666667
"828",25261,25251,"Female","Logger",35,27,1.038892,0.647859,"25261_25251","E","E_25251","E_25261_25251",0,108,"brood",76.66666667,98.83333333
"829",25261,25251,"Female","Logger",35,27,1.038892,0.647859,"25261_25251","E","E_25251","E_25261_25251",0,87,"brood",104.3333333,85
"830",25261,25251,"Female","Logger",35,27,1.038892,0.647859,"25261_25251","E","E_25251","E_25261_25251",0,95,"brood",90,94.83333333
"831",25261,25251,"Female","Logger",35,27,1.038892,0.647859,"25261_25251","E","E_25251","E_25261_25251",0,113,"brood",72.5,40.66666667
"832",25261,25251,"Female","Logger",35,27,1.038892,0.647859,"25261_25251","E","E_25251","E_25261_25251",0,102,"brood",52.5,73.66666667
"833",27691,19855,"Male","Logger",17,17,4.109796,3.109796,"27691_19855","E","E_19855","E_27691_19855",0,107,"brood",104.3333333,85.83333333
"834",27691,19855,"Male","Logger",17,17,4.109796,3.109796,"27691_19855","E","E_19855","E_27691_19855",0,101,"brood",45.16666667,14
"835",27964,25808,"Female","Logger",22,24,3.159691,-0.001539025,"27964_25808","E","E_25808","E_27964_25808",0,100,"brood",78.33333333,143.5
"836",27964,25808,"Female","Logger",22,24,3.159691,-0.001539025,"27964_25808","E","E_25808","E_27964_25808",0,112,"brood",32.83333333,62.66666667
"837",27964,25808,"Female","Logger",22,24,3.159691,-0.001539025,"27964_25808","E","E_25808","E_27964_25808",0,113,"brood",36.83333333,12.5
"838",27964,25808,"Female","Logger",22,24,3.159691,-0.001539025,"27964_25808","E","E_25808","E_27964_25808",0,106,"brood",73.16666667,72.66666667
"839",5800,21391,"Female","Logger",34,33,0.4502542,1.256826,"5800_21391","E","E_21391","E_5800_21391",0,102,"brood",33.16666667,13.33333333
"840",5800,21391,"Female","Logger",34,33,0.4502542,1.256826,"5800_21391","E","E_21391","E_5800_21391",0,109,"brood",81.99972222,122.5
"841",11404,25451,"Male","Logger",24,23,1.947857,3.649773,"11404_25451","F","F_25451","F_11404_25451",0,90,"brood",42.33333333,77.5
"842",11404,25451,"Male","Logger",24,23,1.947857,3.649773,"11404_25451","F","F_25451","F_11404_25451",0,95,"brood",89.33333333,78.33333333
"843",11404,25451,"Male","Logger",24,23,1.947857,3.649773,"11404_25451","F","F_25451","F_11404_25451",0,103,"brood",42.83333333,100.6666667
"844",11404,25451,"Male","Logger",24,23,1.947857,3.649773,"11404_25451","F","F_25451","F_11404_25451",0,107,"brood",70.66666667,45.5
"845",21305,21318,"Female","Logger",13,13,3.362309,1.0765,"21305_21318","F","F_21318","F_21305_21318",0,101,"brood",14.33333333,55.66666667
"846",21305,21318,"Female","Logger",13,13,3.362309,1.0765,"21305_21318","F","F_21318","F_21305_21318",0,110,"brood",128,28.33333333
"847",21305,21318,"Female","Logger",13,13,3.362309,1.0765,"21305_21318","F","F_21318","F_21305_21318",0,95,"brood",104.8333333,64
"848",21305,21318,"Female","Logger",13,13,3.362309,1.0765,"21305_21318","F","F_21318","F_21305_21318",0,102,"brood",55.83333333,14
"849",21305,21318,"Female","Logger",13,13,3.362309,1.0765,"21305_21318","F","F_21318","F_21305_21318",0,108,"brood",11.83333333,74
"850",21437,18921,"Female","Logger",16,21,3.273853,0.4025061,"21437_18921","F","F_18921","F_21437_18921",0,110,"brood",47.16666667,96.66666667
"851",21437,18921,"Female","Logger",16,21,3.273853,0.4025061,"21437_18921","F","F_18921","F_21437_18921",0,104,"brood",42.33333333,69.5
"852",21437,18921,"Female","Logger",16,21,3.273853,0.4025061,"21437_18921","F","F_18921","F_21437_18921",0,93,"brood",4.166666667,52.5
"853",21437,18921,"Female","Logger",16,21,3.273853,0.4025061,"21437_18921","F","F_18921","F_21437_18921",0,99,"brood",47.5,57
"854",21437,18921,"Female","Logger",16,21,3.273853,0.4025061,"21437_18921","F","F_18921","F_21437_18921",0,95,"brood",42,41
"855",21508,25903,"Female","Logger",37,15,0.8533622,0.9700464,"21508_25903","F","F_25903","F_21508_25903",0,110,"brood",70.66666667,70.83333333
"856",21508,25903,"Female","Logger",37,15,0.8533622,0.9700464,"21508_25903","F","F_25903","F_21508_25903",0,101,"brood",73.66666667,46
"857",21508,25903,"Female","Logger",37,15,0.8533622,0.9700464,"21508_25903","F","F_25903","F_21508_25903",0,106,"brood",21.33333333,48.16666667
"858",21508,25903,"Female","Logger",37,15,0.8533622,0.9700464,"21508_25903","F","F_25903","F_21508_25903",0,96,"brood",78.33333333,84.833328
"859",21599,27664,"Female","Logger",30,28,2.148402,2.253362,"21599_27664","F","F_27664","F_21599_27664",0,110,"brood",51,149.6666667
"860",21599,27664,"Female","Logger",30,28,2.148402,2.253362,"21599_27664","F","F_27664","F_21599_27664",0,103,"brood",15.16666667,72.66666667
"861",23696,22566,"Male","Logger",32,19,0.7035849,0.6247418,"23696_22566","F","F_22566","F_23696_22566",0,101,"brood",66.33333333,48.33333333
"862",23696,22566,"Male","Logger",32,19,0.7035849,0.6247418,"23696_22566","F","F_22566","F_23696_22566",0,96,"brood",71.33333333,96.33333333
"863",23696,22566,"Male","Logger",32,19,0.7035849,0.6247418,"23696_22566","F","F_22566","F_23696_22566",0,88,"brood",96.83333333,145
"864",23696,22566,"Male","Logger",32,19,0.7035849,0.6247418,"23696_22566","F","F_22566","F_23696_22566",0,110,"brood",52.16666667,140
"865",8534,11268,"Male","Logger",32,27,2.004812,1.880613,"8534_11268","F","F_11268","F_8534_11268",0,107,"brood",51.33333333,67.16666667
"866",8534,11268,"Male","Logger",32,27,2.004812,1.880613,"8534_11268","F","F_11268","F_8534_11268",0,96,"brood",48.5,99.33333333
"867",8534,11268,"Male","Logger",32,27,2.004812,1.880613,"8534_11268","F","F_11268","F_8534_11268",0,102,"brood",46.33333333,96.33333333
"868",8534,11268,"Male","Logger",32,27,2.004812,1.880613,"8534_11268","F","F_11268","F_8534_11268",0,113,"brood",28.5,95.5
"869",9949,20586,"Female","Logger",24,15,2.055522,0.9175876,"9949_20586","F","F_20586","F_9949_20586",0,111,"brood",81.33333333,51.66666667
"870",9949,20586,"Female","Logger",24,15,2.055522,0.9175876,"9949_20586","F","F_20586","F_9949_20586",0,98,"brood",95.16666667,97.16666667
"871",9949,20586,"Female","Logger",24,15,2.055522,0.9175876,"9949_20586","F","F_20586","F_9949_20586",0,106,"brood",73.83333333,90
