tag,p_tag,sex,partner_type,age,p_age,pers,p_pers,pair_id,cycle,cycle_p_tag,cycle_pair,new_part,NumDays,breed_stage,no_hours,part_prev_bout
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,51,incu,77.16666667,235.3332
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,14,incu,27.5,112.83336
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,70,incu,141,129.83328
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,30,incu,269.3333333,208.83312
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,60,incu,121,136.83336
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,9,incu,15.83333333,151.83336
25453,11725,Female,Partner,20,22,3.157011,0.3946664,25453_11725,B,B_11725,B_25453_11725,0,15,incu,53.16666667,6.66672
27641,19963,Male,Partner,22,14,1.892628,1.477475,27641_19963,B,B_19963,B_27641_19963,0,67,incu,170.8333333,238.66656
27641,19963,Male,Partner,22,14,1.892628,1.477475,27641_19963,B,B_19963,B_27641_19963,0,44,incu,320.6666667,145.16664
27854,21182,Female,Logger,30,17,4.862843,1.544845,27854_21182,B,B_21182,B_27854_21182,0,82,incu,75.33333333,150.8333333
27854,21182,Female,Logger,30,17,4.862843,1.544845,27854_21182,B,B_21182,B_27854_21182,0,86,incu,102.6666667,13.33333333
28454,21185,Male,Partner,22,21,1.25035,1.072549,28454_21185,B,B_21185,B_28454_21185,0,32,incu,420,343.16688
28454,21185,Male,Partner,22,21,1.25035,1.072549,28454_21185,B,B_21185,B_28454_21185,0,66,incu,461.1666667,384.49992
28454,21185,Male,Partner,22,21,1.25035,1.072549,28454_21185,B,B_21185,B_28454_21185,0,13,incu,120.3333333,271.16688
4705,21667,Female,Partner,38,39,3.404814,0.3438821,4705_21667,B,B_21667,B_4705_21667,0,9,incu,98,38.66688
4705,21667,Female,Partner,38,39,3.404814,0.3438821,4705_21667,B,B_21667,B_4705_21667,0,17,incu,47.16666667,5.49984
4705,21667,Female,Partner,38,39,3.404814,0.3438821,4705_21667,B,B_21667,B_4705_21667,0,6,incu,39.83333333,8.16672
4705,21667,Female,Partner,38,39,3.404814,0.3438821,4705_21667,B,B_21667,B_4705_21667,0,22,incu,273.3333333,28.99992
4705,21667,Female,Partner,38,39,3.404814,0.3438821,4705_21667,B,B_21667,B_4705_21667,0,20,incu,16.33333333,23.16672
4705,21667,Female,Partner,38,39,3.404814,0.3438821,4705_21667,B,B_21667,B_4705_21667,0,14,incu,74.16666667,16.16664
7025,23718,Male,Logger,33,22,3.684725,1.003159,7025_23718,B,B_23718,B_7025_23718,0,24,incu,144.8336111,22.66666667
7025,23718,Male,Logger,33,22,3.684725,1.003159,7025_23718,B,B_23718,B_7025_23718,0,20,incu,72.33333333,156.3333333
7025,23718,Male,Logger,33,22,3.684725,1.003159,7025_23718,B,B_23718,B_7025_23718,0,6,incu,9.666666667,156.833328
7025,23718,Male,Logger,33,22,3.684725,1.003159,7025_23718,B,B_23718,B_7025_23718,0,8,incu,144.6666667,23.5
11333,27863,Male,Logger,24,25,1.79312,3.087776,11333_27863,C,C_27863,C_11333_27863,0,35,incu,343.3333333,326.6666667
11333,27863,Male,Logger,24,25,1.79312,3.087776,11333_27863,C,C_27863,C_11333_27863,0,10,incu,264.5,23.66666667
11333,27863,Male,Logger,24,25,1.79312,3.087776,11333_27863,C,C_27863,C_11333_27863,0,67,incu,190,433.3333333
11333,27863,Male,Logger,24,25,1.79312,3.087776,11333_27863,C,C_27863,C_11333_27863,0,6,incu,75.66666667,20.83333333
11725,25453,Male,Logger,23,21,0.3946664,3.157011,11725_25453,C,C_25453,C_11725_25453,0,5,incu,34.33333333,28.833336
11725,25453,Male,Logger,23,21,0.3946664,3.157011,11725_25453,C,C_25453,C_11725_25453,0,4,incu,10.16666667,71.166672
11725,25453,Male,Logger,23,21,0.3946664,3.157011,11725_25453,C,C_25453,C_11725_25453,0,15,incu,6.166666667,191.833344
11725,25453,Male,Logger,23,21,0.3946664,3.157011,11725_25453,C,C_25453,C_11725_25453,0,16,incu,11,16.16666667
11725,25453,Male,Logger,23,21,0.3946664,3.157011,11725_25453,C,C_25453,C_11725_25453,0,24,incu,63,15.5
11725,25453,Male,Logger,23,21,0.3946664,3.157011,11725_25453,C,C_25453,C_11725_25453,0,20,incu,83.83333333,94.166664
19354,20140,Male,Partner,17,14,0.1097958,1.32351,19354_20140,C,C_20140,C_19354_20140,0,17,incu,79.5,158.66664
19354,20140,Male,Partner,17,14,0.1097958,1.32351,19354_20140,C,C_20140,C_19354_20140,0,10,incu,13.16666667,74.33328
19354,20140,Male,Partner,17,14,0.1097958,1.32351,19354_20140,C,C_20140,C_19354_20140,0,6,incu,17.5,112.5
19519,27665,Male,Logger,16,28,0.4502542,2.948773,19519_27665,C,C_27665,C_19519_27665,0,76,incu,258.1666667,212.499984
19519,27665,Male,Logger,16,28,0.4502542,2.948773,19519_27665,C,C_27665,C_19519_27665,0,25,incu,261.1666667,179
19519,27665,Male,Logger,16,28,0.4502542,2.948773,19519_27665,C,C_27665,C_19519_27665,0,43,incu,277.1666667,173.5
19519,27665,Male,Logger,16,28,0.4502542,2.948773,19519_27665,C,C_27665,C_19519_27665,0,60,incu,164.0002778,128
19519,27665,Male,Logger,16,28,0.4502542,2.948773,19519_27665,C,C_27665,C_19519_27665,0,13,incu,110.3333333,171.5
20140,19354,Female,Logger,14,17,1.32351,0.1097958,20140_19354,C,C_19354,C_20140_19354,0,10,incu,158.6666667,13.16666667
20140,19354,Female,Logger,14,17,1.32351,0.1097958,20140_19354,C,C_19354,C_20140_19354,0,1,incu,112.5,12.66666667
20140,19354,Female,Logger,14,17,1.32351,0.1097958,20140_19354,C,C_19354,C_20140_19354,0,7,incu,74.33333333,17.5
21271,22950,Male,Partner,10,24,2.288892,0.4825872,21271_22950,C,C_22950,C_21271_22950,1,30,incu,150.6666667,285.49992
21271,22950,Male,Partner,10,24,2.288892,0.4825872,21271_22950,C,C_22950,C_21271_22950,1,7,incu,18.66666667,43.83312
21271,22950,Male,Partner,10,24,2.288892,0.4825872,21271_22950,C,C_22950,C_21271_22950,1,9,incu,219.8333333,27.83328
22950,21271,Female,Logger,24,10,0.4825872,2.288892,22950_21271,C,C_21271,C_22950_21271,1,5,incu,43.83305556,71
22950,21271,Female,Logger,24,10,0.4825872,2.288892,22950_21271,C,C_21271,C_22950_21271,1,8,incu,27.83333333,18.66666667
22950,21271,Female,Logger,24,10,0.4825872,2.288892,22950_21271,C,C_21271,C_22950_21271,1,18,incu,285.5,219.8333333
23268,9117,Female,Partner,23,27,3.038892,1.049124,23268_9117,C,C_9117,C_23268_9117,0,35,incu,362.5,168.33336
23268,9117,Female,Partner,23,27,3.038892,1.049124,23268_9117,C,C_9117,C_23268_9117,0,17,incu,259.1666667,51.33336
23268,9117,Female,Partner,23,27,3.038892,1.049124,23268_9117,C,C_9117,C_23268_9117,0,60,incu,169.5,244.16664
23268,9117,Female,Partner,23,27,3.038892,1.049124,23268_9117,C,C_9117,C_23268_9117,0,74,incu,283.5,169.3332
25453,11725,Female,Partner,21,23,3.157011,0.3946664,25453_11725,C,C_11725,C_25453_11725,0,16,incu,94.166664,10.99992
25453,11725,Female,Partner,21,23,3.157011,0.3946664,25453_11725,C,C_11725,C_25453_11725,0,4,incu,28.833336,10.16664
25453,11725,Female,Partner,21,23,3.157011,0.3946664,25453_11725,C,C_11725,C_25453_11725,0,7,incu,191.833344,34.33344
25453,11725,Female,Partner,21,23,3.157011,0.3946664,25453_11725,C,C_11725,C_25453_11725,0,23,incu,15.5,83.83344
25453,11725,Female,Partner,21,23,3.157011,0.3946664,25453_11725,C,C_11725,C_25453_11725,0,27,incu,196.6666667,63
25453,11725,Female,Partner,21,23,3.157011,0.3946664,25453_11725,C,C_11725,C_25453_11725,0,15,incu,16.16666667,6.1668
27665,19519,Female,Partner,28,16,2.948773,0.4502542,27665_19519,C,C_19519,C_27665_19519,0,18,incu,179,110.33328
27665,19519,Female,Partner,28,16,2.948773,0.4502542,27665_19519,C,C_19519,C_27665_19519,0,55,incu,128,277.16664
27665,19519,Female,Partner,28,16,2.948773,0.4502542,27665_19519,C,C_19519,C_27665_19519,0,36,incu,173.5,261.16656
27665,19519,Female,Partner,28,16,2.948773,0.4502542,27665_19519,C,C_19519,C_27665_19519,0,67,incu,212.499984,164.00016
27863,11333,Female,Partner,25,24,3.087776,1.79312,27863_11333,C,C_11333,C_27863_11333,0,9,incu,23.66666667,75.66672
27863,11333,Female,Partner,25,24,3.087776,1.79312,27863_11333,C,C_11333,C_27863_11333,0,75,incu,293.3333333,190.00008
27863,11333,Female,Partner,25,24,3.087776,1.79312,27863_11333,C,C_11333,C_27863_11333,0,21,incu,326.6666667,264.49992
27863,11333,Female,Partner,25,24,3.087776,1.79312,27863_11333,C,C_11333,C_27863_11333,0,49,incu,433.3333333,343.33344
9117,23268,Male,Logger,27,23,1.049124,3.038892,9117_23268,C,C_23268,C_9117_23268,0,50,incu,244.1666667,362.5
9117,23268,Male,Logger,27,23,1.049124,3.038892,9117_23268,C,C_23268,C_9117_23268,0,15,incu,51.33333333,357.8333333
9117,23268,Male,Logger,27,23,1.049124,3.038892,9117_23268,C,C_23268,C_9117_23268,0,28,incu,168.3333333,259.1666667
9117,23268,Male,Logger,27,23,1.049124,3.038892,9117_23268,C,C_23268,C_9117_23268,0,67,incu,169.3333333,169.5
11232,11841,Female,Logger,25,23,3.462843,1.639227,11232_11841,D,D_11841,D_11232_11841,0,8,incu,35.16666667,22.16666667
11232,11841,Female,Logger,25,23,3.462843,1.639227,11232_11841,D,D_11841,D_11232_11841,0,10,incu,116.3336111,23.16666667
11841,11232,Male,Partner,23,25,1.639227,3.462843,11841_11232,D,D_11232,D_11841_11232,0,9,incu,23.16666667,35.16672
11841,11232,Male,Partner,23,25,1.639227,3.462843,11841_11232,D,D_11232,D_11841_11232,0,15,incu,152.1666667,116.33352
18921,21437,Male,Partner,19,14,0.4025061,3.273853,18921_21437,D,D_21437,D_18921_21437,0,85,incu,129,238.16664
18921,21437,Male,Partner,19,14,0.4025061,3.273853,18921_21437,D,D_21437,D_18921_21437,0,68,incu,163,46.33344
20125,22945,Male,Logger,15,16,2.673177,2.725945,20125_22945,D,D_22945,D_20125_22945,0,4,incu,9.166666667,46.16666667
20125,22945,Male,Logger,15,16,2.673177,2.725945,20125_22945,D,D_22945,D_20125_22945,0,11,incu,30.66666667,57
20125,22945,Male,Logger,15,16,2.673177,2.725945,20125_22945,D,D_22945,D_20125_22945,0,8,incu,30,94.33332
20743,21821,Male,Logger,12,11,1.777924,2.97567,20743_21821,D,D_21821,D_20743_21821,0,8,incu,7.5,60.666648
20743,21821,Male,Logger,12,11,1.777924,2.97567,20743_21821,D,D_21821,D_20743_21821,0,5,incu,1.666666667,66.166656
20743,21821,Male,Logger,12,11,1.777924,2.97567,20743_21821,D,D_21821,D_20743_21821,0,9,incu,24.83333333,20.33333333
20743,21821,Male,Logger,12,11,1.777924,2.97567,20743_21821,D,D_21821,D_20743_21821,0,2,incu,7.166666667,51
21437,18921,Female,Logger,14,19,3.273853,0.4025061,21437_18921,D,D_18921,D_21437_18921,0,75,incu,238.1666667,163
21437,18921,Female,Logger,14,19,3.273853,0.4025061,21437_18921,D,D_18921,D_21437_18921,0,66,incu,46.33333333,128
21821,20743,Female,Partner,11,12,2.97567,1.777924,21821_20743,D,D_20743,D_21821_20743,0,2,incu,66.166656,7.16664
21821,20743,Female,Partner,11,12,2.97567,1.777924,21821_20743,D,D_20743,D_21821_20743,0,8,incu,20.33333333,7.5
21821,20743,Female,Partner,11,12,2.97567,1.777924,21821_20743,D,D_20743,D_21821_20743,0,10,incu,164.166672,24.83328
21821,20743,Female,Partner,11,12,2.97567,1.777924,21821_20743,D,D_20743,D_21821_20743,0,5,incu,60.666648,1.6668
22945,20125,Female,Partner,16,15,2.725945,2.673177,22945_20125,D,D_20125,D_22945_20125,0,4,incu,94.33332,9.1668
22945,20125,Female,Partner,16,15,2.725945,2.673177,22945_20125,D,D_20125,D_22945_20125,0,13,incu,65.333328,30.66672
22945,20125,Female,Partner,16,15,2.725945,2.673177,22945_20125,D,D_20125,D_22945_20125,0,9,incu,57,30
23250,23281,Male,Logger,29,31,1.972619,2.218257,23250_23281,D,D_23281,D_23250_23281,0,46,incu,117.3333333,196.3333333
23250,23281,Male,Logger,29,31,1.972619,2.218257,23250_23281,D,D_23281,D_23250_23281,0,33,incu,111.8333333,92.66666667
23250,23281,Male,Logger,29,31,1.972619,2.218257,23250_23281,D,D_23281,D_23250_23281,0,68,incu,265.1666667,198.1666667
23250,23281,Male,Logger,29,31,1.972619,2.218257,23250_23281,D,D_23281,D_23250_23281,0,23,incu,159.5,211.6666667
23250,23281,Male,Logger,29,31,1.972619,2.218257,23250_23281,D,D_23281,D_23250_23281,0,14,incu,9.833333333,157.666656
23250,23281,Male,Logger,29,31,1.972619,2.218257,23250_23281,D,D_23281,D_23250_23281,0,52,incu,191.5,13.66666667
23281,23250,Female,Partner,31,29,2.218257,1.972619,23281_23250,D,D_23250,D_23281_23250,0,38,incu,196.3333333,111.83328
23281,23250,Female,Partner,31,29,2.218257,1.972619,23281_23250,D,D_23250,D_23281_23250,0,51,incu,13.66666667,117.33336
23281,23250,Female,Partner,31,29,2.218257,1.972619,23281_23250,D,D_23250,D_23281_23250,0,14,incu,211.6666667,9.83328
23281,23250,Female,Partner,31,29,2.218257,1.972619,23281_23250,D,D_23250,D_23281_23250,0,79,incu,234.3333333,265.16664
23281,23250,Female,Partner,31,29,2.218257,1.972619,23281_23250,D,D_23250,D_23281_23250,0,60,incu,198.1666667,191.50008
23281,23250,Female,Partner,31,29,2.218257,1.972619,23281_23250,D,D_23250,D_23281_23250,0,29,incu,92.66666667,159.49992
27879,28460,Male,Logger,31,30,3.377633,0.6418972,27879_28460,D,D_28460,D_27879_28460,0,7,incu,283.1666667,86.666664
27879,28460,Male,Logger,31,30,3.377633,0.6418972,27879_28460,D,D_28460,D_27879_28460,0,2,incu,30.66666667,35.83333333
28460,27879,Female,Partner,30,31,0.6418972,3.377633,28460_27879,D,D_27879,D_28460_27879,0,4,incu,86.666664,30.66672
28460,27879,Female,Partner,30,31,0.6418972,3.377633,28460_27879,D,D_27879,D_28460_27879,0,19,incu,121.6666667,283.16664
19354,20140,Male,Partner,19,16,0.1097958,1.32351,19354_20140,E,E_20140,E_19354_20140,0,27,incu,113,125.8332
19354,20140,Male,Partner,19,16,0.1097958,1.32351,19354_20140,E,E_20140,E_19354_20140,0,9,incu,17.5,155.66664
19354,20140,Male,Partner,19,16,0.1097958,1.32351,19354_20140,E,E_20140,E_19354_20140,0,21,incu,15.5,7.83336
19354,20140,Male,Partner,19,16,0.1097958,1.32351,19354_20140,E,E_20140,E_19354_20140,0,17,incu,92.5,167.00016
20140,19354,Female,Logger,16,19,1.32351,0.1097958,20140_19354,E,E_19354,E_20140_19354,0,3,incu,155.6666667,21
20140,19354,Female,Logger,16,19,1.32351,0.1097958,20140_19354,E,E_19354,E_20140_19354,0,22,incu,125.8333333,15.5
20140,19354,Female,Logger,16,19,1.32351,0.1097958,20140_19354,E,E_19354,E_20140_19354,0,10,incu,167.0002778,17.5
20140,19354,Female,Logger,16,19,1.32351,0.1097958,20140_19354,E,E_19354,E_20140_19354,0,21,incu,7.833333333,92.5
21667,4705,Male,Logger,42,41,0.3438821,3.404814,21667_4705,E,E_4705,E_21667_4705,0,4,incu,7.333333333,109.5
21667,4705,Male,Logger,42,41,0.3438821,3.404814,21667_4705,E,E_4705,E_21667_4705,0,8,incu,20.66666667,79.66666667
21667,4705,Male,Logger,42,41,0.3438821,3.404814,21667_4705,E,E_4705,E_21667_4705,0,14,incu,233,124
4705,21667,Female,Partner,41,42,3.404814,0.3438821,4705_21667,E,E_21667,E_4705_21667,0,4,incu,79.66666667,7.33344
4705,21667,Female,Partner,41,42,3.404814,0.3438821,4705_21667,E,E_21667,E_4705_21667,0,9,incu,124,20.66664
4705,21667,Female,Partner,41,42,3.404814,0.3438821,4705_21667,E,E_21667,E_4705_21667,0,24,incu,164.1666667,232.99992
11268,8534,Female,Partner,27,32,1.880613,2.004812,11268_8534,F,F_8534,F_11268_8534,0,77,incu,124.8333333,243.1668
11268,8534,Female,Partner,27,32,1.880613,2.004812,11268_8534,F,F_8534,F_11268_8534,0,85,incu,127.8333333,65.66664
11404,25451,Male,Logger,24,23,1.947857,3.649773,11404_25451,F,F_25451,F_11404_25451,0,5,incu,37.5,121
11404,25451,Male,Logger,24,23,1.947857,3.649773,11404_25451,F,F_25451,F_11404_25451,0,7,incu,33,16.66666667
11404,25451,Male,Logger,24,23,1.947857,3.649773,11404_25451,F,F_25451,F_11404_25451,0,79,incu,195.9997222,239
18921,21437,Male,Partner,21,16,0.4025061,3.273853,18921_21437,F,F_21437,F_18921_21437,0,20,incu,149.8333333,110.49984
18921,21437,Male,Partner,21,16,0.4025061,3.273853,18921_21437,F,F_21437,F_18921_21437,0,75,incu,141.3333333,142.5
18921,21437,Male,Partner,21,16,0.4025061,3.273853,18921_21437,F,F_21437,F_18921_21437,0,14,incu,22.16666667,119.16672
19859,8440,Female,Partner,18,32,0.69982,2.298154,19859_8440,F,F_8440,F_19859_8440,0,22,incu,14,30.83352
19859,8440,Female,Partner,18,32,0.69982,2.298154,19859_8440,F,F_8440,F_19859_8440,0,6,incu,44.83333333,26.33328
19859,8440,Female,Partner,18,32,0.69982,2.298154,19859_8440,F,F_8440,F_19859_8440,0,11,incu,231.3333333,62.83344
19859,8440,Female,Partner,18,32,0.69982,2.298154,19859_8440,F,F_8440,F_19859_8440,0,3,incu,45,46.5
19859,8440,Female,Partner,18,32,0.69982,2.298154,19859_8440,F,F_8440,F_19859_8440,0,8,incu,24.16666667,1.83336
21437,18921,Female,Logger,16,21,3.273853,0.4025061,21437_18921,F,F_18921,F_21437_18921,0,81,incu,244.5,141.3333333
21437,18921,Female,Logger,16,21,3.273853,0.4025061,21437_18921,F,F_18921,F_21437_18921,0,15,incu,110.4997222,22.16666667
21437,18921,Female,Logger,16,21,3.273853,0.4025061,21437_18921,F,F_18921,F_21437_18921,0,9,incu,119.1666667,99.33333333
21437,18921,Female,Logger,16,21,3.273853,0.4025061,21437_18921,F,F_18921,F_21437_18921,0,69,incu,142.5,185.8333333
21599,27664,Female,Logger,30,28,2.148402,2.253362,21599_27664,F,F_27664,F_21599_27664,0,63,incu,178.1666667,104.1666667
21599,27664,Female,Logger,30,28,2.148402,2.253362,21599_27664,F,F_27664,F_21599_27664,0,83,incu,22.5,286.6666667
22953,9512,Female,Logger,34,36,3.247322,1.073853,22953_9512,F,F_9512,F_22953_9512,0,10,incu,228.1666667,95.66666667
22953,9512,Female,Logger,34,36,3.247322,1.073853,22953_9512,F,F_9512,F_22953_9512,0,1,incu,131.8333333,21.66666667
25451,11404,Female,Partner,23,24,3.649773,1.947857,25451_11404,F,F_11404,F_25451_11404,0,9,incu,321.8333333,33
25451,11404,Female,Partner,23,24,3.649773,1.947857,25451_11404,F,F_11404,F_25451_11404,0,6,incu,16.66666667,37.5
27664,21599,Male,Partner,28,30,2.253362,2.148402,27664_21599,F,F_21599,F_27664_21599,0,83,incu,202.66668,22.5
27664,21599,Male,Partner,28,30,2.253362,2.148402,27664_21599,F,F_21599,F_27664_21599,0,71,incu,286.6666667,178.16664
27757,28682,Male,Logger,25,9,0.5560877,1.819745,27757_28682,F,F_28682,F_27757_28682,0,36,incu,239.1663889,221
27757,28682,Male,Logger,25,9,0.5560877,1.819745,27757_28682,F,F_28682,F_27757_28682,0,25,incu,48.99972222,230.8333333
28682,27757,Female,Partner,9,25,1.819745,0.5560877,28682_27757,F,F_27757,F_28682_27757,0,46,incu,219.8333333,239.16648
