"","cycle_tag","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_pair","new_part","NumDays","day_date","breed_act","breed_stage","start_date_time","start_numeric_date_time","end_date_time","end_numeric_date_time","timeduration","no_hours","no_days","part_prev_bout","age_sq","p_age_sq","ppb_ave_no_hours","ppb_ave_diff","ppb_ave_diff_sc","age_sc","p_age_sc","age_sq_sc","p_age_sq_sc","pers_sc","num_days_sc","p_pers_sc","no_hours_sqrt"
"272","2008_BS11675","BS25403","BS11675","Female","Partner",19,21,3.157011,0.3946664,"BS11675_BS25403",2008,"2008_BS11675_BS25403","0",105,30,"mar","brood","30/03/2008 08:01",39537.33434,"01/04/2008 14:11",39539.59129,195000,54.16666667,2.256944444,29.16672,361,441,65.7222,-36.55548,-0.780978935245146,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,1.26081139848346,0.625857313664532,-1.17165631841626,7.35980072216633
"273","2008_BS11675","BS25403","BS11675","Female","Partner",19,21,3.157011,0.3946664,"BS11675_BS25403",2008,"2008_BS11675_BS25403","0",112,6,"apr","brood","06/04/2008 05:21",39544.22323,"08/04/2008 04:01",39546.16767,168000,46.66666667,1.944444444,111.16656,361,441,65.7222,45.44436,0.97088283030881,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,1.26081139848346,0.812278342606476,-1.17165631841626,6.83130051088371
"274","2008_BS11675","BS25403","BS11675","Female","Partner",19,21,3.157011,0.3946664,"BS11675_BS25403",2008,"2008_BS11675_BS25403","0",93,18,"mar","brood","18/03/2008 08:01",39525.33434,"19/03/2008 11:21",39526.47323,98400,27.33333333,1.138888889,90.49992,361,441,65.7222,24.77772,0.529356402471048,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,1.26081139848346,0.306278406906914,-1.17165631841626,5.22812904680059
"275","2008_BS11675","BS25403","BS11675","Female","Partner",19,21,3.157011,0.3946664,"BS11675_BS25403",2008,"2008_BS11675_BS25403","0",117,11,"apr","brood","11/04/2008 06:21",39549.2649,"13/04/2008 08:31",39551.35517,180600,50.16666667,2.090277778,74.33352,361,441,65.7222,8.61131999999999,0.183974045058503,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,1.26081139848346,0.945436220422151,-1.17165631841626,7.08284312052724
"276","2008_BS11675","BS25403","BS11675","Female","Partner",19,21,3.157011,0.3946664,"BS11675_BS25403",2008,"2008_BS11675_BS25403","0",96,21,"mar","brood","21/03/2008 04:01",39528.16767,"24/03/2008 09:21",39531.3899,278400,77.33333333,3.222222222,40.66656,361,441,65.7222,-25.05564,-0.53529394359165,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,1.26081139848346,0.386173133596319,-1.17165631841626,8.79393730532576
"277","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",99,24,"mar","brood","24/03/2008 13:22",39531.55694,"26/03/2008 09:42",39533.40417,159601,44.33361111,1.847233796,76,361,441,64.0555555566667,11.9444444433333,0.255183614151675,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,0.884925084168754,0.466067860285723,-1.14507574900563,6.65834897778721
"278","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",93,18,"mar","brood","18/03/2008 07:12",39525.3,"21/03/2008 09:22",39528.39028,267000,74.16666667,3.090277778,50,361,441,64.0555555566667,-14.0555555566667,-0.300285834378991,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,0.884925084168754,0.306278406906914,-1.14507574900563,8.61200712203607
"279","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",104,29,"mar","brood","29/03/2008 03:52",39536.16111,"31/03/2008 14:42",39538.6125,211800,58.83333333,2.451388889,66.16666667,361,441,64.0555555566667,2.11111111333334,0.0451022202273165,-0.268847496850084,-0.00173680546044785,-0.40349256206792,-0.164448500582137,0.884925084168754,0.599225738101398,-1.14507574900563,7.67028899911861
"280","2008_BS12318","BS12468","BS12318","Female","Partner",18,18,-0.2259256,1.415381,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",94,19,"mar","brood","19/03/2008 01:58",39526.08254,"22/03/2008 04:58",39529.20754,270000,75,3.125,64.00008,324,324,68.54166,-4.54158,-0.0970272668483808,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-1.71151429085816,0.332909982470049,-0.278760496917072,8.66025403784439
"281","2008_BS12318","BS12468","BS12318","Female","Partner",18,18,-0.2259256,1.415381,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",105,30,"mar","brood","30/03/2008 08:08",39537.33948,"03/04/2008 11:58",39541.4992,359400,99.83333333,4.159722222,66.16656,324,324,68.54166,-2.37509999999999,-0.0507421341232761,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-1.71151429085816,0.625857313664532,-0.278760496917072,9.9916631913811
"282","2008_BS12318","BS12468","BS12318","Female","Partner",18,18,-0.2259256,1.415381,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",99,24,"mar","brood","24/03/2008 09:18",39531.38809,"27/03/2008 13:58",39534.58254,276000,76.66666667,3.194444444,52.3332,324,324,68.54166,-16.20846,-0.346280936066591,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-1.71151429085816,0.466067860285723,-0.278760496917072,8.75595035789948
"283","2008_BS12318","BS12468","BS12318","Female","Partner",18,18,-0.2259256,1.415381,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",113,7,"apr","brood","07/04/2008 07:38",39545.31865,"09/04/2008 04:18",39547.17976,160800,44.66666667,1.861111111,91.6668,324,324,68.54166,23.12514,0.494050337038248,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-1.71151429085816,0.838909918169611,-0.278760496917072,6.68331255217052
"284","2008_BS12468","BS12318","BS12468","Male","Logger",18,18,1.415381,-0.2259256,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",102,27,"mar","brood","27/03/2008 13:58",39534.58254,"30/03/2008 08:08",39537.33948,238200,66.16666667,2.756944444,76.66666667,324,324,86.6666666675,-9.9999999975,-0.213642095535307,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-0.269424666339054,0.545962586975128,-1.71453481124454,8.13428956147985
"285","2008_BS12468","BS12318","BS12468","Male","Logger",18,18,1.415381,-0.2259256,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",91,16,"mar","brood","16/03/2008 09:58",39523.41587,"19/03/2008 01:58",39526.08254,230400,64,2.666666667,95.16666667,324,324,86.6666666675,8.5000000025,0.181595781303821,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-0.269424666339054,0.253015255780644,-1.71453481124454,8
"286","2008_BS12468","BS12318","BS12468","Male","Logger",18,18,1.415381,-0.2259256,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",109,3,"apr","brood","03/04/2008 11:58",39541.4992,"07/04/2008 07:38",39545.31865,330000,91.66666667,3.819444444,99.83333333,324,324,86.6666666675,13.1666666625,0.281295425769461,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-0.269424666339054,0.732383615917072,-1.71453481124454,9.57427107773746
"287","2008_BS12468","BS12318","BS12468","Male","Logger",18,18,1.415381,-0.2259256,"BS12318_BS12468",2008,"2008_BS12318_BS12468","0",97,22,"mar","brood","22/03/2008 04:58",39529.20754,"24/03/2008 09:18",39531.38809,188400,52.33333333,2.180555556,75,324,324,86.6666666675,-11.6666666675,-0.249249111537974,-0.406511323867382,-0.414307048019616,-0.517690308541989,-0.525132342538614,-0.269424666339054,0.412804709159453,-1.71453481124454,7.23417813783985
"288","2008_BS12526","BS21228","BS12526","Female","Logger",8,17,0.3498411,0.09089471,"BS21228_BS12526",2008,"2008_BS21228_BS12526","1",105,30,"mar","brood","30/03/2008 14:09",39537.59024,"02/04/2008 01:09",39540.04858,212401,59.00027778,2.458344907,105.1666667,64,289,78.0416666825,27.1250000175,0.57950418465827,-1.78314959404036,-0.551830462206005,-1.32016095944085,-0.633029218337561,-1.20563246218971,0.625857313664532,-1.43738826022521,7.68116382978517
"289","2008_BS12526","BS21228","BS12526","Female","Logger",8,17,0.3498411,0.09089471,"BS21228_BS12526",2008,"2008_BS21228_BS12526","1",99,24,"mar","brood","24/03/2008 12:39",39531.52774,"26/03/2008 03:59",39533.16663,141600,39.33333333,1.638888889,53.5,64,289,78.0416666825,-24.5416666825,-0.524313309928911,-1.78314959404036,-0.551830462206005,-1.32016095944085,-0.633029218337561,-1.20563246218971,0.466067860285723,-1.43738826022521,6.27162924047651
"290","2008_BS12526","BS21228","BS12526","Female","Logger",8,17,0.3498411,0.09089471,"BS21228_BS12526",2008,"2008_BS21228_BS12526","1",95,20,"mar","brood","20/03/2008 08:49",39527.36802,"22/03/2008 07:09",39529.29858,166800,46.33333333,1.930555556,48.33333333,64,289,78.0416666825,-29.7083333525,-0.634695059387629,-1.78314959404036,-0.551830462206005,-1.32016095944085,-0.633029218337561,-1.20563246218971,0.359541558033184,-1.43738826022521,6.8068592853092
"291","2008_BS12526","BS21228","BS12526","Female","Logger",8,17,0.3498411,0.09089471,"BS21228_BS12526",2008,"2008_BS21228_BS12526","1",112,6,"apr","brood","06/04/2008 10:19",39544.43052,"09/04/2008 04:09",39547.17358,237000,65.83333333,2.743055556,105.1666667,64,289,78.0416666825,27.1250000175,0.57950418465827,-1.78314959404036,-0.551830462206005,-1.32016095944085,-0.633029218337561,-1.20563246218971,0.812278342606476,-1.43738826022521,8.11377429621998
"292","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",110,4,"apr","brood","04/04/2008 13:08",39542.54757,"07/04/2008 10:48",39545.45035,250800.0192,69.666672,2.902778,45.83328,256,256,33.9285942857143,11.9046857142857,0.254334200332507,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.759015191480207,1.34988460409501,8.34665633652183
"293","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",103,28,"mar","brood","28/03/2008 05:08",39535.21424,"31/03/2008 05:18",39538.22118,259800.048,72.16668,3.006945,49.00008,256,256,33.9285942857143,15.0714857142857,0.321990379163542,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.572594162538263,1.34988460409501,8.49509740968283
"294","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",107,1,"apr","brood","01/04/2008 06:08",39539.2559,"02/04/2008 15:18",39540.63785,119400,33.16666667,1.381944444,24.83328,256,256,33.9285942857143,-9.09531428571428,-0.1943142004038,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.679120464790802,1.34988460409501,5.75905084801306
"295","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",98,23,"mar","brood","23/03/2008 08:48",39530.36701,"26/03/2008 04:08",39533.17257,242399.952,67.33332,2.805555,51,256,256,33.9285942857143,17.0714057142857,0.364717089144521,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.439436284722588,1.34988460409501,8.20568827094961
"296","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",90,15,"mar","brood","15/03/2008 12:38",39522.52674,"16/03/2008 06:28",39523.26979,64200,17.83333333,0.743055556,1.00008,256,256,33.9285942857143,-32.9285142857143,-0.703491679662303,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.226383680217509,1.34988460409501,4.22295315271197
"297","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",114,8,"apr","brood","08/04/2008 09:18",39546.38785,"10/04/2008 09:08",39548.3809,172200,47.83333333,1.993055556,22.5,256,256,33.9285942857143,-11.4285942857143,-0.244162883283324,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.865541493732746,1.34988460409501,6.91616464017449
"298","2008_BS18863","BS21633","BS18863","Male","Partner",16,16,0,3.277168,"BS18863_BS21633",2008,"2008_BS18863_BS21633","0",93,18,"mar","brood","18/03/2008 01:48",39525.07535,"21/03/2008 05:48",39528.24201,273600,76,3.166666667,43.33344,256,256,33.9285942857143,9.40484571428572,0.200927094708857,-0.681838977901977,-0.689353876392394,-0.727567248007846,-0.734760558376567,-1.51301087676523,0.306278406906914,1.34988460409501,8.71779788708135
"299","2008_BS19304","BS20090","BS19304","Female","Logger",12,15,1.32351,0.1097958,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",110,4,"apr","brood","04/04/2008 09:01",39542.37594,"07/04/2008 22:41",39545.94538,308400,85.66666667,3.569444444,25.5,144,225,43.4583333325,-17.9583333325,-0.383665596643602,-1.23249428597117,-0.826877290578784,-1.07324691301043,-0.830326362655634,-0.350144634134343,0.759015191480207,-1.42085405538207,9.25562891812328
"300","2008_BS19304","BS20090","BS19304","Female","Logger",12,15,1.32351,0.1097958,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",101,26,"mar","brood","26/03/2008 11:31",39533.4801,"29/03/2008 00:01",39536.00094,217801,60.50027778,2.520844907,54.16666667,144,225,43.4583333325,10.7083333375,0.228775077448603,-1.23249428597117,-0.826877290578784,-1.07324691301043,-0.830326362655634,-0.350144634134343,0.519331011411993,-1.42085405538207,7.77819244940622
"301","2008_BS19304","BS20090","BS19304","Female","Logger",12,15,1.32351,0.1097958,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",107,1,"apr","brood","01/04/2008 07:21",39539.30649,"03/04/2008 07:31",39541.31344,173400,48.16666667,2.006944444,78.33333333,144,225,43.4583333325,34.8749999975,0.745076808312243,-1.23249428597117,-0.826877290578784,-1.07324691301043,-0.830326362655634,-0.350144634134343,0.679120464790802,-1.42085405538207,6.94022093812582
"302","2008_BS19304","BS20090","BS19304","Female","Logger",12,15,1.32351,0.1097958,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",96,21,"mar","brood","21/03/2008 02:11",39528.09122,"24/03/2008 05:21",39531.22316,270600,75.16666667,3.131944444,15.83333333,144,225,43.4583333325,-27.6250000025,-0.590186289117243,-1.23249428597117,-0.826877290578784,-1.07324691301043,-0.830326362655634,-0.350144634134343,0.386173133596319,-1.42085405538207,8.66987120261887
"303","2008_BS19469","BS27615","BS19469","Female","Partner",26,14,2.948773,0.4502542,"BS19469_BS27615",2008,"2008_BS19469_BS27615","0",96,21,"mar","brood","21/03/2008 12:17",39528.51194,"22/03/2008 05:17",39529.22028,61200,17,0.708333333,33.33312,676,196,32.299968,1.033152,0.0220724758341675,0.694799292270999,-0.964400704765173,0.56873149575186,-0.919726631174761,1.07784871544141,0.386173133596319,-1.12302948938263,4.12310562561766
"304","2008_BS19469","BS27615","BS19469","Female","Partner",26,14,2.948773,0.4502542,"BS19469_BS27615",2008,"2008_BS19469_BS27615","0",113,7,"apr","brood","07/04/2008 09:47",39545.40778,"09/04/2008 12:37",39547.52583,183000,50.83333333,2.118055556,22.00008,676,196,32.299968,-10.299888,-0.220048965664909,0.694799292270999,-0.964400704765173,0.56873149575186,-0.919726631174761,1.07784871544141,0.838909918169611,-1.12302948938263,7.12974987850205
"305","2008_BS19469","BS27615","BS19469","Female","Partner",26,14,2.948773,0.4502542,"BS19469_BS27615",2008,"2008_BS19469_BS27615","0",108,2,"apr","brood","02/04/2008 11:17",39540.47028,"06/04/2008 11:47",39544.49111,347400,96.5,4.020833333,28.83336,676,196,32.299968,-3.466608,-0.0740613397704614,0.694799292270999,-0.964400704765173,0.56873149575186,-0.919726631174761,1.07784871544141,0.705752040353937,-1.12302948938263,9.82344135219425
"306","2008_BS19469","BS27615","BS19469","Female","Partner",26,14,2.948773,0.4502542,"BS19469_BS27615",2008,"2008_BS19469_BS27615","0",98,23,"mar","brood","23/03/2008 03:27",39530.14389,"27/03/2008 02:37",39534.10917,342600,95.16666667,3.965277778,22.16664,676,196,32.299968,-10.133328,-0.216490542920783,0.694799292270999,-0.964400704765173,0.56873149575186,-0.919726631174761,1.07784871544141,0.439436284722588,-1.12302948938263,9.75534041794544
"307","2008_BS19469","BS27615","BS19469","Female","Partner",26,14,2.948773,0.4502542,"BS19469_BS27615",2008,"2008_BS19469_BS27615","0",104,29,"mar","brood","29/03/2008 09:47",39536.40778,"01/04/2008 06:27",39539.26889,243600,67.66666667,2.819444444,55.16664,676,196,32.299968,22.866672,0.488528372521985,0.694799292270999,-0.964400704765173,0.56873149575186,-0.919726631174761,1.07784871544141,0.599225738101398,-1.12302948938263,8.22597511970465
"308","2008_BS20090","BS19304","BS20090","Male","Partner",15,12,0.1097958,1.32351,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",109,3,"apr","brood","03/04/2008 07:31",39541.31344,"04/04/2008 09:01",39542.37594,91800,25.5,1.0625,48.1668,225,144,58.833312,-10.666512,-0.22788159763022,-0.819502804919275,-1.23944753313795,-0.823246440999634,-1.0800305609332,-1.41654176855853,0.732383615917072,-0.359126969599007,5.04975246918104
"309","2008_BS20090","BS19304","BS20090","Male","Partner",15,12,0.1097958,1.32351,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",99,24,"mar","brood","24/03/2008 05:21",39531.22316,"26/03/2008 11:31",39533.4801,195000,54.16666667,2.256944444,75.16656,225,144,58.833312,16.333248,0.348946933049023,-0.819502804919275,-1.23944753313795,-0.823246440999634,-1.0800305609332,-1.41654176855853,0.466067860285723,-0.359126969599007,7.35980072216633
"310","2008_BS20090","BS19304","BS20090","Male","Partner",15,12,0.1097958,1.32351,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",104,29,"mar","brood","29/03/2008 00:01",39536.00094,"01/04/2008 07:21",39539.30649,282000,78.33333333,3.263888889,60.50016,225,144,58.833312,1.666848,0.0356108899747863,-0.819502804919275,-1.23944753313795,-0.823246440999634,-1.0800305609332,-1.41654176855853,0.599225738101398,-0.359126969599007,8.85061203137952
"311","2008_BS20090","BS19304","BS20090","Male","Partner",15,12,0.1097958,1.32351,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",95,20,"mar","brood","20/03/2008 10:21",39527.43149,"21/03/2008 02:11",39528.09122,57000,15.83333333,0.659722222,24.66648,225,144,58.833312,-34.166832,-0.729947358810766,-0.819502804919275,-1.23944753313795,-0.823246440999634,-1.0800305609332,-1.41654176855853,0.359541558033184,-0.359126969599007,3.97911212835225
"312","2008_BS20090","BS19304","BS20090","Male","Partner",15,12,0.1097958,1.32351,"BS20090_BS19304",2008,"2008_BS20090_BS19304","0",113,7,"apr","brood","07/04/2008 22:41",39545.94538,"10/04/2008 06:41",39548.27872,201600,56,2.333333333,85.66656,225,144,58.833312,26.833248,0.573271133417177,-0.819502804919275,-1.23944753313795,-0.823246440999634,-1.0800305609332,-1.41654176855853,0.838909918169611,-0.359126969599007,7.48331477354788
"313","2008_BS20227","BS20472","BS20227","Female","Partner",10,12,1.347735,0.2259662,"BS20227_BS20472",2008,"2008_BS20227_BS20472","0",103,28,"mar","brood","28/03/2008 16:26",39535.68535,"31/03/2008 02:56",39538.12285,210600,58.5,2.4375,2.16672,100,144,35.5238057142857,-33.3570857142857,-0.712647769473248,-1.50782194000576,-1.23944753313795,-1.20904963854717,-1.0800305609332,-0.328859993498659,0.572594162538263,-1.31923107013048,7.64852927038918
"314","2008_BS20227","BS20472","BS20227","Female","Partner",10,12,1.347735,0.2259662,"BS20227_BS20472",2008,"2008_BS20227_BS20472","0",101,26,"mar","brood","26/03/2008 09:16",39533.38674,"28/03/2008 14:16",39535.59507,190800,53,2.208333333,50.16672,100,144,35.5238057142857,14.6429142857143,0.312834289352597,-1.50782194000576,-1.23944753313795,-1.20904963854717,-1.0800305609332,-0.328859993498659,0.519331011411993,-1.31923107013048,7.28010988928052
"315","2008_BS20227","BS20472","BS20227","Female","Partner",10,12,1.347735,0.2259662,"BS20227_BS20472",2008,"2008_BS20227_BS20472","0",116,10,"apr","brood","10/04/2008 08:56",39548.37285,"12/04/2008 04:56",39550.20618,158400.0576,44.000016,1.833334,68.00016,100,144,35.5238057142857,32.4763542857143,0.693831638668163,-1.50782194000576,-1.23944753313795,-1.20904963854717,-1.0800305609332,-0.328859993498659,0.918804644859016,-1.31923107013048,6.63325078675607
"316","2008_BS20227","BS20472","BS20227","Female","Partner",10,12,1.347735,0.2259662,"BS20227_BS20472",2008,"2008_BS20227_BS20472","0",107,1,"apr","brood","01/04/2008 07:56",39539.33118,"03/04/2008 05:06",39541.21313,162600,45.16666667,1.881944444,28.99992,100,144,35.5238057142857,-6.52388571428571,-0.13937766153813,-1.50782194000576,-1.23944753313795,-1.20904963854717,-1.0800305609332,-0.328859993498659,0.679120464790802,-1.31923107013048,6.72061505146664
"317","2008_BS20227","BS20472","BS20227","Female","Partner",10,12,1.347735,0.2259662,"BS20227_BS20472",2008,"2008_BS20227_BS20472","0",109,3,"apr","brood","03/04/2008 09:26",39541.39368,"07/04/2008 12:56",39545.53951,358199.9712,99.499992,4.145833,4.3332,100,144,35.5238057142857,-31.1906057142857,-0.666362636748143,-1.50782194000576,-1.23944753313795,-1.20904963854717,-1.0800305609332,-0.328859993498659,0.732383615917072,-1.31923107013048,9.97496827062623
"318","2008_BS20227","BS20472","BS20227","Female","Partner",10,12,1.347735,0.2259662,"BS20227_BS20472",2008,"2008_BS20227_BS20472","0",92,17,"mar","brood","17/03/2008 04:36",39524.19229,"20/03/2008 04:36",39527.19229,259200,72,3,38.8332,100,144,35.5238057142857,3.30939428571428,0.0707025930329327,-1.50782194000576,-1.23944753313795,-1.20904963854717,-1.0800305609332,-0.328859993498659,0.279646831343779,-1.31923107013048,8.48528137423857
